Pattern_Name,Specific_Biomarkers,N_Pattern_Samples,Pattern_PD,Pattern_HC,Raw_Prevalence,Weighted_Prevalence,Sensitivity,Specificity,Likelihood_Ratio,Post_Test_Probability,Confidence_Level,Avg_Composite_Score,Avg_Elevated_Score,Avg_Depleted_Score,N_Studies_Represented
High_Elevated_90,"↑Scatomorpha + ↑Limiplasma + ↑Ruthenibacterium + ↑NSJ-63 + ↑Anaerotruncus + ↑Alistipes_A + ↑Spyradocola + ↑Desulfovibrio | Frequencies: ↑Scatomorpha(80%), ↑Limiplasma(80%), ↑Ruthenibacterium(80%), ↑NSJ-63(78%), ↑Anaerotruncus(74%)",138,116,22,0.8405797101449275,0.8028327025109363,0.16044260027662519,0.966412213740458,4.776813780963163,0.8268941949807371,High Confidence,3618.503753898551,3524.685927811595,93.81782608695653,6
Top_10_Percent,"↑Ruthenibacterium + ↑Scatomorpha + ↑Limiplasma + ↑NSJ-63 + ↑Alistipes_A + ↑Anaerotruncus + ↑Desulfovibrio + ↑Pararuminococcus | Frequencies: ↑Ruthenibacterium(81%), ↑Scatomorpha(80%), ↑Limiplasma(80%), ↑NSJ-63(77%), ↑Alistipes_A(73%)",138,115,23,0.8333333333333334,0.795385889665757,0.1590594744121715,0.9648854961832061,4.529737206085749,0.8191595797898948,High Confidence,3625.108365123189,3514.734452079711,110.37391304347828,6
High_Elevated_85,"↑Ruthenibacterium + ↑Scatomorpha + ↑Limiplasma + ↑NSJ-63 + ↑Anaerotruncus + ↑Alistipes_A + ↑Pararuminococcus + ↑Spyradocola | Frequencies: ↑Ruthenibacterium(76%), ↑Scatomorpha(75%), ↑Limiplasma(73%), ↑NSJ-63(70%), ↑Anaerotruncus(68%)",207,167,40,0.8067632850241546,0.7744857679127728,0.23098201936376211,0.9389312977099237,3.782330567081605,0.7908969306966488,Moderate Confidence,3370.4243279323678,3283.3515743091793,87.07275362318842,7
Top_3_Biomarkers,↑Ruthenibacterium + ↑Alistipes + ↑Parabacteroides,56,45,11,0.8035714285714286,0.7964505375305962,0.06224066390041494,0.983206106870229,3.706148623161075,0.787512023084322,Moderate Confidence,3469.1608392142866,3364.896910642858,104.26392857142858,6
Top_15_Percent,"↑Ruthenibacterium + ↑Scatomorpha + ↑Limiplasma + ↑NSJ-63 + ↑Anaerotruncus + ↑Alistipes_A + ↑Pararuminococcus + ↑Spyradocola | Frequencies: ↑Ruthenibacterium(78%), ↑Scatomorpha(75%), ↑Limiplasma(74%), ↑NSJ-63(70%), ↑Anaerotruncus(66%)",207,166,41,0.8019323671497585,0.7708924800078699,0.22959889349930843,0.9374045801526718,3.6679823229767594,0.7857746814768778,Moderate Confidence,3374.520322038648,3273.9574234879233,100.56289855072465,7
Top_20_Percent,"↑Ruthenibacterium + ↑Scatomorpha + ↑Limiplasma + ↑NSJ-63 + ↑Anaerotruncus + ↑Pararuminococcus + ↑Alistipes_A + ↑Spyradocola | Frequencies: ↑Ruthenibacterium(72%), ↑Scatomorpha(68%), ↑Limiplasma(66%), ↑NSJ-63(64%), ↑Anaerotruncus(62%)",276,221,55,0.8007246376811594,0.7724788463151068,0.30567081604426005,0.916030534351145,3.640261536527096,0.784494905701279,Moderate Confidence,3174.740310586957,3085.521397543479,89.21891304347825,7
High_Elevated_80,"↑Ruthenibacterium + ↑Scatomorpha + ↑Limiplasma + ↑NSJ-63 + ↑Anaerotruncus + ↑Pararuminococcus + ↑Alistipes_A + ↑Alistipes | Frequencies: ↑Ruthenibacterium(71%), ↑Scatomorpha(69%), ↑Limiplasma(68%), ↑NSJ-63(65%), ↑Anaerotruncus(62%)",276,219,57,0.7934782608695652,0.7606026313136208,0.3029045643153527,0.9129770992366413,3.4807454320448445,0.776822848973226,Moderate Confidence,3169.556304199276,3090.45499985145,79.10130434782609,7
Top_25_Percent,"↑Ruthenibacterium + ↑Scatomorpha + ↑Limiplasma + ↑NSJ-63 + ↑Anaerotruncus + ↑Pararuminococcus + ↑Alistipes_A + ↑Alistipes | Frequencies: ↑Ruthenibacterium(67%), ↑Scatomorpha(64%), ↑Limiplasma(62%), ↑NSJ-63(59%), ↑Anaerotruncus(57%)",345,265,80,0.7681159420289855,0.7398082719794803,0.3665283540802213,0.8778625954198473,3.000950899031812,0.750059417064581,Moderate Confidence,3002.747950889856,2918.863776976812,83.88417391304348,8
Top_2_Biomarkers,↑Ruthenibacterium + ↑Alistipes,119,90,29,0.7563025210084033,0.7322031178565267,0.12448132780082988,0.9557251908396946,2.8115610244670193,0.7376403018131311,Moderate Confidence,3221.9177237142862,3136.5866312773114,85.3310924369748,7
Top_1_Biomarker,↑Ruthenibacterium,305,227,78,0.7442622950819672,0.7232347870012218,0.313969571230982,0.8809160305343512,2.6365393481576063,0.7250132875623541,Moderate Confidence,2768.7830388295083,2664.742055222951,104.04098360655739,7
